total events,theta0,p(theta>theta0),t (frac of X0),graph
100000,10,7.00E-05,0.01,
100000,10,0.00022,0.02,
100000,10,0.00047,0.03,
100000,10,0.00069,0.04,
100000,10,0.00089,0.05,
100000,10,0.00133,0.06,
100000,10,0.00161,0.07,
100000,10,0.00224,0.08,
100000,10,0.00238,0.09,
100000,10,0.00285,0.1,
100000,10,0.00349,0.11,
100000,10,0.00401,0.12,
100000,10,0.00499,0.13,
100000,10,0.00528,0.14,
100000,10,0.0062,0.15,
100000,10,0.00726,0.16,
100000,10,0.00789,0.17,
100000,10,0.00794,0.18,
100000,10,0.00928,0.19,
100000,10,0.01034,0.2,
100000,10,0.01071,0.21,
100000,10,0.01151,0.22,
100000,10,0.01322,0.23,
100000,10,0.0137,0.24,
100000,10,0.01565,0.25,
100000,10,0.01598,0.26,
100000,10,0.0179,0.27,
100000,10,0.01844,0.28,
100000,10,0.01902,0.29,
100000,10,0.01956,0.3,
100000,10,0.02255,0.31,
100000,10,0.02325,0.32,
100000,10,0.02401,0.33,
100000,10,0.02633,0.34,
100000,10,0.02652,0.35,
100000,10,0.02897,0.36,
100000,10,0.03025,0.37,
100000,10,0.03157,0.38,
100000,10,0.03322,0.39,
100000,10,0.03405,0.4,
100000,10,0.03654,0.41,
100000,10,0.03709,0.42,
100000,10,0.03785,0.43,
100000,10,0.0401,0.44,
100000,10,0.04092,0.45,
100000,10,0.04309,0.46,
100000,10,0.04551,0.47,
100000,10,0.04709,0.48,
100000,10,0.04948,0.49,
100000,10,0.05114,0.5,
,,,,
1000000,12,8.00E-05,0.01,
1000000,12,0.000738,0.05,
1000000,12,0.002426,0.1,
1000000,12,0.004802,0.15,
1000000,12,0.008073,0.2,
1000000,12,0.011665,0.25,
1000000,12,0.015917,0.3,
1000000,12,0.021126,0.35,
1000000,12,0.027375,0.4,
1000000,12,0.033512,0.45,
1000000,12,0.039916,0.5,
,,,,
1000000,15,5.40E-05,0.01,
1000000,15,0.000513,0.05,
1000000,15,0.001721,0.1,
1000000,15,0.003516,0.15,
1000000,15,0.006001,0.2,
1000000,15,0.00862,0.25,
1000000,15,0.011768,0.3,
1000000,15,0.015578,0.35,
1000000,15,0.020298,0.4,
1000000,15,0.024842,0.45,
1000000,15,0.02969,0.5,
,,,,
1000000,18,4.20E-05,0.01,
1000000,18,0.000411,0.05,
1000000,18,0.00131,0.1,
1000000,18,0.002659,0.15,
1000000,18,0.004618,0.2,
1000000,18,0.006677,0.25,
1000000,18,0.009089,0.3,
1000000,18,0.011961,0.35,
1000000,18,0.015682,0.4,
1000000,18,0.019284,0.45,
1000000,18,0.022825,0.5,
,,,,
1000000,20,2.90E-05,0.01,
1000000,20,0.000345,0.05,
1000000,20,0.001118,0.1,
1000000,20,0.002292,0.15,
1000000,20,0.003972,0.2,
1000000,20,0.005701,0.25,
1000000,20,0.007774,0.3,
1000000,20,0.010209,0.35,
1000000,20,0.013436,0.4,
1000000,20,0.016468,0.45,
1000000,20,0.019551,0.5,
,,,,
Alpha results:,,,,
,,,,
Theta0 = 10 deg  -->  alpha = 1.6999 ± 0.0081,,,,
Theta0 = 12 deg  -->  alpha = 1.6141 ± 0.0303,,,,
Theta0 = 15 deg  -->  alpha = 1.6409 ± 0.0306,,,,
Theta0 = 18 deg  -->  alpha = 1.6367 ± 0.0302,,,,
Theta0 = 20 deg  -->  alpha = 1.6828 ± 0.0203,,,,